논문 기관명,실제 기관명,상위 기관명,국가,ROR ID,논문 수,근거,검토 필요
Georgia Institute of Technology,Georgia Institute of Technology,,United States,01zkghx44,24,scopus+pdf,
Google (United States),Google (United States),,United States,00njsd438,24,openalex,
Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,Hong Kong,00q4vv597,24,scopus+pdf,
University of Cambridge,University of Cambridge,,United Kingdom,013meh722,24,scopus+pdf,
Beijing Academy of Artificial Intelligence,Beijing Academy of Artificial Intelligence,,China,016a74861,23,scopus+pdf,
University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,China,05qbk4x57,23,scopus-unconfirmed,
University of Michigan,University of Michigan,,United States,00jmfr291,23,scopus+pdf,
DeepMind Technologies Limited,Google DeepMind,Google (United States),United Kingdom,00971b260,22,scopus+pdf,
Microsoft Research,Microsoft Research,,United States,,22,scopus-unconfirmed,
University College London,University College London,University of London,United Kingdom,02jx3x895,22,scopus+pdf,
California Institute of Technology,California Institute of Technology,,United States,05dxps055,21,scopus-unconfirmed,
Chinese Academy of Sciences,Chinese Academy of Sciences,,China,034t30j35,21,scopus+pdf,
Harvard University Press,Harvard University Press,Harvard University,United States,006v7bf86,21,openalex,
Northwestern University,Northwestern University,,United States,000e0be47,21,scopus-unconfirmed,
Pennsylvania State University,Pennsylvania State University,,United States,04p491231,21,scopus+pdf,
Simon Fraser University,Simon Fraser University,,Canada,0213rcc28,21,scopus+pdf,
Columbia University,Columbia University,,United States,00hj8s172,20,scopus+pdf,
Google DeepMind,Google DeepMind,Google (United States),United Kingdom,00971b260,20,scopus+pdf,
University of Pennsylvania,University of Pennsylvania,,United States,00b30xv10,20,scopus+pdf,
Cornell University,Cornell University,,United States,05bnh6r87,19,scopus+pdf,
ETH Zurich,ETH Zurich,,Switzerland,05a28rw58,19,scopus+pdf,
Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,South Korea,05apxxy63,19,scopus-unconfirmed,
"University of Maryland, College Park","University of Maryland, College Park",,United States,047s2c258,19,scopus+pdf,
University of Southern California,University of Southern California,,United States,03taz7m60,19,scopus+pdf,
National Bureau of Economic Research,National Bureau of Economic Research,,United States,04grmx538,18,scopus-unconfirmed,
Stanford Engineering,Stanford University,,United States,00f54p054,18,scopus-unconfirmed,
Stanford University,Stanford University,,United States,00f54p054,18,scopus+pdf,
"University of California, San Diego",University of California San Diego,,United States,0168r3w48,18,scopus+pdf,
"University of California, Los Angeles","University of California, Los Angeles",,United States,046rm7j60,18,scopus+pdf,
The University of Chicago,University of Chicago,,United States,024mw5h28,18,scopus+pdf,
ETH Zürich,ETH Zurich,,Switzerland,05a28rw58,17,scopus+pdf,
French National Centre for Scientific Research,French National Centre for Scientific Research,,France,02feahw73,17,openalex,
Microsoft (United States),Microsoft (United States),,United States,00d0nc645,17,openalex,
Nanjing University,Nanjing University,,China,01rxvg760,17,scopus-unconfirmed,
Vector Institute,Vector Institute,,Canada,03kqdja62,17,scopus+pdf,
Wuhan University,Wuhan University,,China,033vjfk17,17,scopus+pdf,
Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,,United States,02jzgtq86,16,scopus+pdf,
Google (United Kingdom),Google (United Kingdom),Google (United States),United Kingdom,024bc3e07,16,openalex,
Harvard Medical School,Harvard Medical School,Harvard University,United States,03wevmz92,16,scopus+pdf,
University of Montreal,University of Montreal,,Canada,0161xgx34,16,scopus+pdf,
Yale University,Yale University,,United States,03v76x132,16,scopus+pdf,
Brigham and Women's Hospital,Brigham and Women's Hospital,Mass General Brigham,United States,04b6nzv94,15,scopus+pdf,
Broad Institute,Broad Institute,,United States,05a0ya142,15,scopus-unconfirmed,
The Chinese University of Hong Kong,Chinese University of Hong Kong,,Hong Kong,00t33hh48,15,scopus+pdf,
Google LLC,Google (United States),,United States,00njsd438,15,scopus+pdf,
Indiana University Bloomington,Indiana University Bloomington,Indiana University,United States,02k40bc56,15,scopus+pdf,
Sun Yat-sen University,Sun Yat-sen University,,China,0064kty71,15,scopus+pdf,
"University of California, San Francisco","University of California, San Francisco",,United States,043mz5j54,15,scopus+pdf,
University of Hong Kong,University of Hong Kong,,Hong Kong,02zhqgq86,15,openalex,
Brown University,Brown University,,United States,05gq02987,14,scopus-unconfirmed,
Chinese University of Hong Kong,Chinese University of Hong Kong,,Hong Kong,00t33hh48,14,scopus+pdf,
Seoul National University,Seoul National University,,South Korea,04h9pn542,14,scopus-unconfirmed,
Shanghai Qi Zhi Institute,Shanghai Qi Zhi Institute,,China,,14,scopus+pdf,
Texas A&M University,Texas A&M University,,United States,01f5ytq51,14,scopus+pdf,
Tongji University,Tongji University,,China,03rc6as71,14,scopus+pdf,
University of California System,University of California System,,United States,00pjdza24,14,openalex,
Central European University,Central European University,,Austria,02zx40v98,13,scopus+pdf,
Huazhong University of Science and Technology,Huazhong University of Science and Technology,,China,00p991c53,13,scopus+pdf,
Nanyang Technological University,Nanyang Technological University,,Singapore,02e7b5302,13,scopus+pdf,
Santa Fe Institute,Santa Fe Institute,,United States,01arysc35,13,scopus+pdf,
Shanghai Innovation Institute,Shanghai Innovation Institute,,China,,13,scopus+pdf,
"University of California, Santa Cruz","University of California, Santa Cruz",,United States,03s65by71,13,scopus-unconfirmed,
The Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,,United States,05w520734,12,scopus-unconfirmed,
Arc Research Institute,Arc Research Institute,,United States,00wra1b14,12,openalex,
Beihang University,Beihang University,,China,00wk2mp56,12,scopus+pdf,
Nvidia (United States),Nvidia (United States),NVIDIA,United States,03jdj4y14,12,openalex,
Renmin University of China,Renmin University of China,,China,041pakw92,12,scopus+pdf,
ShanghaiTech University,ShanghaiTech University,,China,030bhh786,12,scopus+pdf,
The Hong Kong University of Science and Technology (Guangzhou),The Hong Kong University of Science and Technology (Guangzhou),HKUST,China,050h0vm43,12,scopus+pdf,
The University of Tokyo,The University of Tokyo,,Japan,057zh3y96,12,scopus+pdf,
Imperial College London,Imperial College London,,United Kingdom,041kmwe10,11,scopus+pdf,
NVIDIA,NVIDIA,,Canada,,11,scopus+pdf,
University of Chicago,University of Chicago,,United States,024mw5h28,11,scopus+pdf,
University of Massachusetts Amherst,University of Massachusetts Amherst,,United States,0072zz521,11,scopus-unconfirmed,
"University of Michigan, Ann Arbor",University of Michigan,,United States,00jmfr291,11,scopus+pdf,
Westlake University,Westlake University,,China,05hfa4n20,11,scopus+pdf,
Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,China,04w9fbh59,10,scopus+pdf,
Camio Inc,Camio Inc.,,United States,,10,scopus-unconfirmed,
Central Compilation & Translation Bureau,Central Compilation & Translation Bureau,,China,0411yf357,10,openalex,
"The Chinese University of Hong Kong, Shenzhen","Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,China,02d5ks197,10,scopus+pdf,
Dana-Farber/Harvard Cancer Center,Dana-Farber/Harvard Cancer Center,Harvard University,United States,03pvyf116,10,openalex,
The Hong Kong Polytechnic University,Hong Kong Polytechnic University,,Hong Kong,0030zas98,10,scopus+pdf,
Istituto Italiano di Tecnologia,Italian Institute of Technology,,Italy,042t93s57,10,scopus+pdf,
Johns Hopkins University,Johns Hopkins University,,United States,00za53h95,10,scopus+pdf,
Southern University of Science and Technology,Southern University of Science and Technology,,China,049tv2d57,10,scopus-unconfirmed,
The Ohio State University,The Ohio State University,,United States,00rs6vg23,10,scopus+pdf,
The University of British Columbia,University of British Columbia,,Canada,03rmrcq20,10,scopus+pdf,
University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,China,04qr3zq92,10,scopus+pdf,
University of Waterloo,University of Waterloo,,Canada,01aff2v68,10,scopus+pdf,
Argonne National Laboratory,Argonne National Laboratory,,United States,05gvnxz63,9,scopus+pdf,
Berkeley College,Berkeley College,,United States,02xewxa75,9,openalex,
,Chan Zuckerberg Initiative (United States),,United States,02qenvm24,9,openalex,
Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory,,United States,02jbv0t02,9,scopus-unconfirmed,
Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,,Germany,05591te55,9,scopus+pdf,
Stanford Medicine,Stanford Medicine,Stanford University,United States,03mtd9a03,9,openalex,
Technical University of Munich,Technical University of Munich,,Germany,02kkvpp62,9,scopus+pdf,
Toyota Research Institute,Toyota Research Institute,Toyota Group (Japan),United States,04fpkc108,9,scopus-unconfirmed,
University of Illinois Chicago,University of Illinois Chicago,,United States,02mpq6x41,9,scopus+pdf,
The University of Manchester,University of Manchester,,United Kingdom,027m9bs27,9,scopus+pdf,
University of Notre Dame,University of Notre Dame,,United States,00mkhxb43,9,scopus+pdf,
University of Virginia,University of Virginia,,United States,0153tk833,9,scopus+pdf,
Bar-Ilan University,Bar-Ilan University,,Israel,03kgsv495,8,scopus+pdf,
Canadian Institute for Advanced Research,Canadian Institute for Advanced Research,,Canada,01sdtdd95,8,scopus-unconfirmed,
"Institute of Artificial Intelligence (TeleAI), China Telecom",China Telecom,,China,05p67dv18,8,scopus+pdf,
Universiteit Leiden,Leiden University,,The Netherlands,027bh9e22,8,scopus+pdf,
Montreal Institute for Learning Algorithms,Mila - Quebec Artificial Intelligence Institute,,Canada,05c22rx21,8,scopus-unconfirmed,
NVIDIA,NVIDIA,,Canada,,8,scopus+pdf,
National Institute for Research in Digital Science and Technology,National Institute for Research in Digital Science and Technology,,France,02kvxyf05,8,openalex,
Palo Alto Institute,Palo Alto Institute,,United States,02xf01n45,8,openalex,
Peking University,Peking University,,China,02v51f717,8,scopus+pdf,
Sun Yat-Sen University,Sun Yat-sen University,,China,0064kty71,8,scopus+pdf,
Technische Universität München,Technical University of Munich,,Germany,02kkvpp62,8,scopus-unconfirmed,
The University of Sydney,The University of Sydney,,Australia,0384j8v12,8,scopus+pdf,
Universiteit van Amsterdam,University of Amsterdam,,The Netherlands,04dkp9463,8,scopus+pdf,
University of Technology Sydney,University of Technology Sydney,,Australia,03f0f6041,8,scopus+pdf,
University of Wisconsin–Madison,University of Wisconsin–Madison,,United States,01y2jtd41,8,openalex,
Allen Institute for AI,Allen Institute for Artificial Intelligence,,United States,05w520734,7,scopus+pdf,
Artificial Intelligence in Medicine (Canada),Artificial Intelligence in Medicine (Canada),,Canada,05p590m36,7,openalex,
Beijing Normal University,Beijing Normal University,,China,022k4wk35,7,scopus-unconfirmed,
California University of Pennsylvania,California University of Pennsylvania,,United States,01spssf70,7,openalex,
Central South University,Central South University,,China,00f1zfq44,7,scopus+pdf,
MIT Department of Electrical Engineering and Computer Science,Computer Sciences Corporation (United States),,United States,04hhwm583,7,scopus-unconfirmed,
French Institute of Health and Medical Research,French Institute of Health and Medical Research,,France,02vjkv261,7,openalex,
Georgia Institute of Technology,Georgia Institute of Technology,,United States,01zkghx44,7,scopus+pdf,
Institute for Scientific Interchange,Institute for Scientific Interchange,,Italy,00te2x188,7,openalex,
King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,,Saudi Arabia,01q3tbs38,7,scopus-unconfirmed,
Meta,Meta (United States),Meta,United States,01zbnvs85,7,scopus+pdf,
Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft (United States),United Kingdom,05k87vq12,7,openalex,
Mohamed Bin Zayed University of Artificial Intelligence,Mohamed Bin Zayed University of Artificial Intelligence,,United Arab Emirates,0258gkt32,7,scopus-unconfirmed,
Purdue University,Purdue University,,United States,,7,scopus+pdf,
UNSW Sydney,UNSW Sydney,,Australia,03r8z3t63,7,scopus-unconfirmed,
University of Amsterdam,University of Amsterdam,,The Netherlands,04dkp9463,7,scopus+pdf,
"University of California, Berkeley","University of California, Berkeley",,United States,01an7q238,7,scopus+pdf,
"University of California, Irvine","University of California, Irvine",,United States,04gyf1771,7,scopus+pdf,
University of Edinburgh,University of Edinburgh,,United Kingdom,01nrxwf90,7,scopus+pdf,
University of Exeter,University of Exeter,,United Kingdom,03yghzc09,7,scopus+pdf,
University of Rochester,University of Rochester,,United States,022kthw22,7,scopus+pdf,
University of Wisconsin-Madison,University of Wisconsin–Madison,,United States,01y2jtd41,7,scopus+pdf,
Zhejiang University,Zhejiang University,,China,00a2xv884,7,scopus+pdf,
Aalto University,Aalto University,,Finland,020hwjq30,6,scopus+pdf,
Beijing Innovation Center of Humanoid Robotics,Beijing Innovation Center,,China,,6,scopus+pdf,
Beijing Institute of Technology,Beijing Institute of Technology,,China,01skt4w74,6,scopus+pdf,
UCLouvain,Catholic University of Louvain,,Belgium,02495e989,6,scopus-unconfirmed,
Center for Systems Biology,Center for Systems Biology,Harvard University,United States,05r3dyn47,6,openalex,
Central China Normal University,Central China Normal University,,China,03x1jna21,6,scopus+pdf,
City University of Hong Kong,City University of Hong Kong,,Hong Kong,03q8dnn23,6,scopus+pdf,
Duke University,Duke University,,United States,00py81415,6,scopus+pdf,
European Bioinformatics Institute,European Bioinformatics Institute,,United Kingdom,02catss52,6,openalex,
Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,,Germany,00f7hpc57,6,scopus+pdf,
Google Research,Google (United States),,United States,00njsd438,6,scopus+pdf,
Hefei University of Technology,Hefei University of Technology,,China,02czkny70,6,scopus+pdf,
Howard Hughes Medical Institute,Howard Hughes Medical Institute,,United States,006w34k90,6,openalex,
IBM (United States),IBM (United States),,United States,05hh8d621,6,openalex,
Institute for Scientific Interchange Foundation,Institute for Scientific Interchange Foundation,,Italy,,6,scopus-unconfirmed,
Massachusetts General Hospital,Massachusetts General Hospital,Mass General Brigham,United States,002pd6e78,6,openalex,
Massachusetts Institute of Technology,Massachusetts Institute of Technology,,United States,042nb2s44,6,scopus+pdf,
Max Planck Institute for Intelligent Systems,Max Planck Institute for Intelligent Systems,Max Planck Society,Germany,04fq9j139,6,scopus+pdf,
Meta Ai,Meta (United States),Meta,United States,01zbnvs85,6,scopus+pdf,
Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft (United States),China,0300m5276,6,openalex,
Monash University,Monash University,,Australia,02bfwt286,6,scopus-unconfirmed,
NVIDIA,NVIDIA,,Canada,,6,scopus+pdf,국가 불일치
Oak Ridge National Laboratory,Oak Ridge National Laboratory,,United States,01qz5mb56,6,scopus+pdf,
PDL BioPharma (United States),PDL BioPharma (United States),,United States,03ya6pd97,6,openalex,
Peking University,Peking University,,China,02v51f717,6,scopus+pdf,
Rice University,Rice University,,United States,008zs3103,6,scopus+pdf,
Sapienza University of Rome,Sapienza University of Rome,,Italy,02be6w209,6,openalex,
Shanghai Jiao Tong University,Shanghai Jiao Tong University,,China,0220qvk04,6,scopus+pdf,
Shenzhen University,Shenzhen University,,China,01vy4gh70,6,scopus-unconfirmed,
Southeast University,Southeast University,,China,04ct4d772,6,scopus+pdf,
Stanford University,Stanford University,,United States,00f54p054,6,scopus+pdf,
Stanford University School of Medicine,Stanford University School of Medicine,Stanford University,United States,011pcwc98,6,scopus+pdf,
École Polytechnique Fédérale de Lausanne,Swiss Federal Institute of Technology in Lausanne,,Switzerland,02s376052,6,scopus-unconfirmed,
Tencent,Tencent (China),,China,00hhjss72,6,scopus+pdf,
"The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China",The Hong Kong University of Science and Technology (Guangzhou),HKUST,China,050h0vm43,6,scopus+pdf,
University of Texas at Dallas,The University of Texas at Dallas,,United States,049emcs32,6,scopus+pdf,
Tianjin University,Tianjin University,,China,012tb2g32,6,scopus+pdf,
Tsinghua University,Tsinghua University,,China,03cve4549,6,scopus+pdf,
University of Birmingham,University of Birmingham,,United Kingdom,03angcq70,6,scopus+pdf,
"University of California, Santa Barbara","University of California, Santa Barbara",,United States,02t274463,6,scopus+pdf,
University of Pittsburgh,University of Pittsburgh,,United States,01an3r305,6,scopus-unconfirmed,
Universität Zürich,University of Zurich,,Switzerland,02crff812,6,scopus-unconfirmed,
Xiamen University,Xiamen University,,China,00mcjh785,6,scopus+pdf,
Yonsei University,Yonsei University,,South Korea,01wjejq96,6,scopus+pdf,
Zhejiang Lab,Zhejiang Lab,,China,02m2h7991,6,scopus+pdf,
"College of Computer Science and Technology, Zhejiang University",Zhejiang University,,China,00a2xv884,6,scopus+pdf,
Zhongguancun Academy,Zhongguancun Academy,,China,,6,scopus+pdf,
Australian National University,Australian National University,,Australia,019wvm592,5,scopus+pdf,
Beijing Advanced Sciences and Innovation Center,Beijing Advanced Sciences and Innovation Center,Chinese Academy of Sciences,China,05qm21180,5,openalex,
Beijing Institute for General Artificial Intelligence (BIGAI),Beijing Institute for General Artificial Intelligence,,China,02kw1ws04,5,scopus+pdf,
Beijing National Research Center for Information Science and Technology,Beijing National Research Center for Information Science and Technology,,China,02tcm9e24,5,scopus+pdf,
Boston University,Boston University,,United States,05qwgg493,5,scopus+pdf,
ByteDance Seed,ByteDance,,China,04m8av638,5,scopus+pdf,
,CMU,Carnegie Mellon University,United States,,5,scopus+pdf,
Carnegie Mellon University,Carnegie Mellon University,,United States,05x2bcf33,5,scopus+pdf,
Carnegie Mellon University,Carnegie Mellon University,,United States,05x2bcf33,5,scopus+pdf,
Institute of Automation Chinese Academy of Sciences,Chinese Academy of Sciences,,China,034t30j35,5,scopus+pdf,
Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,Australian Government,Australia,03qn8fb07,5,scopus+pdf,
Cornell Ann S. Bowers College of Computing and Information Science,Cornell Ann S. Bowers College of Computing and Information Science,,United States,,5,scopus-unconfirmed,
Dalian University of Technology,Dalian University of Technology,,China,023hj5876,5,scopus+pdf,
ETH Zurich,ETH Zurich,,Switzerland,05a28rw58,5,scopus+pdf,
East China Normal University,East China Normal University,,China,02n96ep67,5,openalex,
Flatiron Institute,Flatiron Institute,,United States,00sekdz59,5,scopus+pdf,
Freie Universität Berlin,Freie Universität Berlin,,Germany,046ak2485,5,scopus+pdf,
Harvard Business School,Harvard Business School,Harvard University,United States,,5,scopus+pdf,
Harvard University,Harvard University,,United States,03vek6s52,5,scopus+pdf,
Harvard–MIT Division of Health Sciences and Technology,Harvard–MIT Division of Health Sciences and Technology,,United States,00jjeh629,5,openalex,
The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,Hong Kong,00q4vv597,5,scopus+pdf,
IBM Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM (United States),United States,0265w5591,5,scopus+pdf,
"Luddy School of Informatics, Computing, and Engineering",Indiana University,,United States,01kg8sb98,5,scopus+pdf,
Institute for the Future,Institute for the Future,,United States,049tcsg76,5,openalex,
Karolinska Institutet,Karolinska Institutet,,Sweden,056d84691,5,scopus+pdf,
Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology,,South Korea,05apxxy63,5,scopus+pdf,
Korea University,Korea University,,South Korea,047dqcg40,5,scopus+pdf,
MIT Computer Science & Artificial Intelligence Laboratory,MIT Computer Science and Artificial Intelligence Laboratory,Massachusetts Institute of Technology,United States,01e85r662,5,scopus-unconfirmed,
MIT School of Engineering,Massachusetts Institute of Technology,,United States,042nb2s44,5,scopus+pdf,
Université McGill,McGill University,,Canada,01pxwe438,5,scopus+pdf,
Microsoft Corporation,Microsoft (United States),,United States,00d0nc645,5,scopus-unconfirmed,
Microsoft Research Asia,Microsoft Research Asia (China),Microsoft (United States),China,0300m5276,5,scopus+pdf,
Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,,China,01mv9t934,5,scopus-unconfirmed,
Moscow Institute of Thermal Technology,Moscow Institute of Thermal Technology,,Russia,021es5e59,5,openalex,
"National Science Library, Chinese Academy of Sciences",National Science Library,Chinese Academy of Sciences,China,04ndjyr10,5,scopus-unconfirmed,
Northwestern Polytechnical University,Northwestern Polytechnical University,,China,01y0j0j86,5,scopus+pdf,
OpenAI (United States),OpenAI (United States),,United States,05wx9n238,5,openalex,
Oregon State University,Oregon State University,,United States,00ysfqy60,5,scopus+pdf,
Peng Cheng Laboratory,Peng Cheng Laboratory,,China,03qdqbt06,5,scopus+pdf,
Princeton University,Princeton University,,United States,00hx57361,5,scopus+pdf,
"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",,United States,05vt9qd57,5,openalex,
Rutgers University,"Rutgers, The State University of New Jersey",,United States,05vt9qd57,5,scopus+pdf,
Science Oxford,Science Oxford,,United Kingdom,04j8yhy50,5,openalex,
Harvard-MIT Health Sciences and Technology,Science and Technology Corporation (United States),,United States,05pw5zy84,5,scopus-unconfirmed,
Shandong Institute of Automation,Shandong Institute of Automation,Shandong Academy of Sciences,China,00qdtba35,5,openalex,
ShangHai JiAi Genetics & IVF Institute,ShangHai JiAi Genetics & IVF Institute,,China,02rgbry52,5,openalex,
Shanghai Innovation Institute,Shanghai Innovation Institute,,China,,5,scopus+pdf,
Shanghai University,Shanghai University,,China,006teas31,5,scopus+pdf,
South China University of Technology,South China University of Technology,,China,0530pts50,5,scopus+pdf,
Sungkyunkwan University,Sungkyunkwan University,,South Korea,04q78tk20,5,openalex,
Technische Universität Dresden,TUD Dresden University of Technology,,Germany,042aqky30,5,scopus+pdf,
Taras Shevchenko National University of Kyiv,Taras Shevchenko National University of Kyiv,,Ukraine,02aaqv166,5,scopus+pdf,
Technische Universität Berlin,Technische Universität Berlin,,Germany,03v4gjf40,5,scopus-unconfirmed,
Tel Aviv University,Tel Aviv University,,Israel,04mhzgx49,5,scopus+pdf,
The Hong Kong University of Science and Technology (Guangzhou),The Hong Kong University of Science and Technology (Guangzhou),HKUST,China,050h0vm43,5,scopus+pdf,
Tsinghua University,Tsinghua University,,China,03cve4549,5,scopus+pdf,
UW College of Engineering,UW College of Engineering,,United States,,5,scopus-unconfirmed,
"University of California, Los Angeles","University of California, Los Angeles",,United States,046rm7j60,5,scopus+pdf,
University of Colorado Boulder,University of Colorado Boulder,,United States,02ttsq026,5,scopus+pdf,
University of Copenhagen,University of Copenhagen,,Denmark,035b05819,5,openalex,
University of Illinois at Urbana-Champaign,University of Illinois Urbana-Champaign,,United States,047426m28,5,scopus+pdf,
Università degli Studi di Milano-Bicocca,University of Milano-Bicocca,University of Milan,Italy,01ynf4891,5,scopus+pdf,
University of Minnesota,University of Minnesota,,United States,017zqws13,5,scopus+pdf,
University of Oxford,University of Oxford,,United Kingdom,052gg0110,5,scopus+pdf,
University of Science and Technology (Guangzhou),University of Science and Technology (Guangzhou),,China,,5,scopus+pdf,
USC Viterbi School of Engineering,University of Southern California,,United States,03taz7m60,5,scopus+pdf,
University of Tübingen,University of Tübingen,,Germany,03a1kwz48,5,scopus+pdf,
York University,York University,,Canada,05fq50484,5,scopus+pdf,
"Zhongguancun Academy, Beijing, China",Zhongguancun Academy,,China,,5,scopus+pdf,
AI for Science Institute,AI for Science Institute,,China,,4,scopus-unconfirmed,
Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,,United States,05w520734,4,openalex,
Amsterdam University of the Arts,Amsterdam University of the Arts,,The Netherlands,04dde1554,4,openalex,
,Anna Needs Neuroblastoma Answers,,United States,02z5k8341,4,openalex,
Arizona State University,Arizona State University,,United States,03efmqc40,4,scopus+pdf,
"State Key Laboratory of General Artificial Intelligence, BIGAI",Beijing Institute for General Artificial Intelligence,,China,02kw1ws04,4,scopus+pdf,
Beijing Institute for General Artificial Intelligence,Beijing Institute for General Artificial Intelligence,,China,02kw1ws04,4,scopus-unconfirmed,
Beijing University of Chinese Medicine,Beijing University of Chinese Medicine,,China,05damtm70,4,scopus+pdf,
Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center,,United States,04drvxt59,4,openalex,
ByteDance Ltd,ByteDance,,China,04m8av638,4,scopus-unconfirmed,
California Institute of Technology Division of Engineering and Applied Science,California Institute of Technology Division of Engineering and Applied Science,,United States,,4,scopus-unconfirmed,
Carnegie Mellon University,Carnegie Mellon University,,United States,05x2bcf33,4,scopus+pdf,
"Department of Computer Science and Engineering, The Chi- nese University of Hong Kong",Chinese University of Hong Kong,,Hong Kong,00t33hh48,4,scopus+pdf,
Alibaba Group Holding Limited,DEI Holdings (United States),,United States,00vyhrf09,4,scopus-unconfirmed,
Dalhousie University,Dalhousie University,,Canada,01e6qks80,4,scopus+pdf,
East China University of Science and Technology,East China University of Science and Technology,,China,01vyrm377,4,scopus+pdf,
Emory University,Emory University,,United States,03czfpz43,4,scopus+pdf,
Flatiron Health (United States),Flatiron Health (United States),,United States,0508h6p74,4,openalex,
Florida Institute for Human & Machine Cognition,Florida Institute for Human and Machine Cognition,,United States,02napvw46,4,scopus+pdf,
Fudan University,Fudan University,,China,013q1eq08,4,scopus+pdf,
Fudan University,Fudan University,,China,013q1eq08,4,scopus+pdf,
FutureHouse Inc,FutureHouse Inc.,,United States,,4,scopus-unconfirmed,
"Genentech, Inc",Genentech,Roche (Switzerland),United States,04gndp242,4,scopus-unconfirmed,
Georgetown University,Georgetown University,,United States,05vzafd60,4,scopus+pdf,
HEC Montréal,HEC Montréal,University of Montreal,Canada,05ww3wq27,4,scopus-unconfirmed,
Harvard Faculty of Arts and Sciences,Harvard University,,United States,03vek6s52,4,scopus+pdf,
IBM Research - Zurich,IBM Research - Zurich,IBM (United States),Switzerland,02js37d36,4,scopus-unconfirmed,
IIT@MIT,IIT@MIT,Italian Institute of Technology,United States,01wp8zh54,4,openalex,
Industrial Research Institute of Ishikawa,Industrial Research Institute of Ishikawa,,Japan,03yr4aq68,4,openalex,
Isomorphic Labs,Isomorphic Labs,,United Kingdom,,4,scopus-unconfirmed,
